"Time","Total Housing Starts - Seasonally Adjusted USA  - #"
"198812",1563000
"198811",1569000
"198810",1522000
"198809",1492000
"198808",1493000
"198807",1467000
"198806",1478000
"198805",1421000
"198804",1573000
"198803",1532000
"198802",1473000
"198801",1271000
"198712",1400000
"198711",1656000
"198710",1515000
"198709",1695000
"198708",1605000
"198707",1575000
"198706",1594000
"198705",1628000
"198704",1614000
"198703",1726000
"198702",1784000
"198701",1774000
"198612",1833000
"198611",1623000
"198610",1681000
"198609",1687000
"198608",1807000
"198607",1782000
"198606",1847000
"198605",1854000
"198604",1933000
"198603",1876000
"198602",1848000
"198601",1972000
"198512",1942000
"198511",1698000
"198510",1834000
"198509",1676000
"198508",1743000
"198507",1684000
"198506",1676000
"198505",1680000
"198504",1821000
"198503",1800000
"198502",1632000
"198501",1711000
"198412",1612000
"198411",1689000
"198410",1590000
"198409",1698000
"198408",1586000
"198407",1732000
"198406",1843000
"198405",1774000
"198404",1851000
"198403",1663000
"198402",2260000
"198401",1897000
"198312",1688000
"198311",1785000
"198310",1715000
"198309",1710000
"198308",1910000
"198307",1785000
"198306",1733000
"198305",1776000
"198304",1472000
"198303",1606000
"198302",1699000
"198301",1586000
"198212",1303000
"198211",1372000
"198210",1173000
"198209",1144000
"198208",1046000
"198207",1166000
"198206",902000
"198205",1025000
"198204",917000
"198203",931000
"198202",866000
"198201",843000
"198112",910000
"198111",837000
"198110",873000
"198109",911000
"198108",940000
"198107",1041000
"198106",1045000
"198105",1140000
"198104",1360000
"198103",1306000
"198102",1246000
"198101",1547000
"198012",1482000
"198011",1510000
"198010",1523000
"198009",1471000
"198008",1436000
"198007",1269000
"198006",1196000
"198005",927000
"198004",1051000
"198003",1047000
"198002",1350000
"198001",1341000
"197912",1498000
"197911",1524000
"197910",1681000
"197909",1832000
"197908",1778000
"197907",1760000
"197906",1913000
"197905",1876000
"197904",1748000
"197903",1847000
"197902",1520000
"197901",1630000
"197812",2044000
"197811",2094000
"197810",1981000
"197809",1970000
"197808",1996000
"197807",2092000
"197806",2070000
"197805",2075000
"197804",2197000
"197803",2032000
"197802",1738000
"197801",1718000
"197712",2142000
"197711",2042000
"197710",2042000
"197709",1949000
"197708",2020000
"197707",2058000
"197706",1893000
"197705",1971000
"197704",1892000
"197703",2063000
"197702",1943000
"197701",1527000
"197612",1804000
"197611",1641000
"197610",1629000
"197609",1720000
"197608",1550000
"197607",1401000
"197606",1495000
"197605",1459000
"197604",1395000
"197603",1421000
"197602",1538000
"197601",1367000
"197512",1321000
"197511",1360000
"197510",1344000
"197509",1264000
"197508",1260000
"197507",1226000
"197506",1087000
"197505",1121000
"197504",1005000
"197503",993000
"197502",904000
"197501",1032000
"197412",975000
"197411",1026000
"197410",1070000
"197409",1150000
"197408",1142000
"197407",1316000
"197406",1513000
"197405",1426000
"197404",1607000
"197403",1555000
"197402",1752000
"197401",1451000
"197312",1526000
"197311",1724000
"197310",1677000
"197309",1874000
"197308",2051000
"197307",2123000
"197306",2067000
"197305",2266000
"197304",2084000
"197303",2365000
"197302",2289000
"197301",2481000
"197212",2366000
"197211",2421000
"197210",2485000
"197209",2481000
"197208",2382000
"197207",2252000
"197206",2254000
